Review,Shopee Rating
"Cunn.. murah, kualiti bagus.. i memang buyer huggies dr anak baru lahir lagi. So very recommended. Jimat banyak kalau beli 3 terus. Kt kedai mahal lagi",5
2 ndntime buy good good good good good good good good good good good good good good good good \U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d,5
Item received in excellent condition.\nGood job to the seller.\nHowever delivery was a bit confusing as on 11/5/2021 it says 'buyer reschedule'. I was never received any call or being contacted. How can you say 'buyer reschedule'.\nShopee Express is trying to blame the customer.\n,4
"Cukup cukup lah korang membazir duit beli lipstick ke, lipmatte ke yang tidak mengandungi sunscreen. Korang sedang aniaya kulit bibir korang. Kesian dia weiii\U0001f61e\n\nNote: Doktor clinic kulit terkenal Malaysia pun yakin dengan formula Haus Cosmetics. Korang pakai lipstick apa tu?\U0001f62c",5
"Been buying so long and giving good review, but this batch is not good. 3yrs old son keep complaints itching after wearing. And poo will infiltration from side of pampers even without urine (6mths baby). The last pic show is with urine.. That's weird. Been using Huggies since 7yrs..",5
"Fast deal,good quality and cheapest among the seller.Worth it to buy.Must repeat and fast shipping",5
2 ndntime buy good good good good good good good good good good good good good good good good \U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d\U0001f44d,5
Item received in excellent condition.\nGood job to the seller.\nHowever delivery was a bit confusing as on 11/5/2021 it says 'buyer reschedule'. I was never received any call or being contacted. How can you say 'buyer reschedule'.\nShopee Express is trying to blame the customer.\n,4
"Cukup cukup lah korang membazir duit beli lipstick ke, lipmatte ke yang tidak mengandungi sunscreen. Korang sedang aniaya kulit bibir korang. Kesian dia weiii\U0001f61e\n\nNote: Doktor clinic kulit terkenal Malaysia pun yakin dengan formula Haus Cosmetics. Korang pakai lipstick apa tu?\U0001f62c",5
"Been buying so long and giving good review, but this batch is not good. 3yrs old son keep complaints itching after wearing. And poo will infiltration from side of pampers even without urine (6mths baby). The last pic show is with urine.. That's weird. Been using Huggies since 7yrs..",5
"Fast deal,good quality and cheapest among the seller.Worth it to buy.Must repeat and fast shipping",5
thanks for your good service.. items get in good condition.. fast shipping from seller and fast delivery by JnT..\U0001f970\U0001f929,5
Item received in excellent condition.\nGood job to the seller.\nHowever delivery was a bit confusing as on 11/5/2021 it says 'buyer reschedule'. I was never received any call or being contacted. How can you say 'buyer reschedule'.\nShopee Express is trying to blame the customer.\n,4
"Cukup cukup lah korang membazir duit beli lipstick ke, lipmatte ke yang tidak mengandungi sunscreen. Korang sedang aniaya kulit bibir korang. Kesian dia weiii\U0001f61e\n\nNote: Doktor clinic kulit terkenal Malaysia pun yakin dengan formula Haus Cosmetics. Korang pakai lipstick apa tu?\U0001f62c",5
